L-f,L-m,L-h,R-f,R-m,R-h,Index
339,340,338,376,0,369,"(1, 4)"
352,335,330,334,0,326,"(1, 5)"
447,303,298,447,0,301,"(1, 6)"
344,311,308,612,0,301,"(1, 7)"
386,360,369,403,0,363,"(1, 8)"
295,293,299,328,0,294,"(1, 10)"
327,324,327,330,0,323,"(1, 11)"
368,309,331,357,0,326,"(1, 12)"
324,330,327,346,0,323,"(1, 13)"
339,333,322,351,0,318,"(1, 14)"
395,373,380,404,0,375,"(1, 15)"
317,305,300,324,0,297,"(1, 16)"
352,340,323,352,0,318,"(1, 17)"
360,343,335,449,0,334,"(1, 19)"
384,374,398,381,0,378,"(1, 20)"
439,404,438,393,0,447,"(2, 5)"
509,529,679,474,0,666,"(2, 7)"
372,372,375,425,0,374,"(2, 8)"
342,333,344,348,0,339,"(2, 9)"
328,309,310,335,0,318,"(2, 10)"
486,428,463,432,0,395,"(2, 11)"
356,354,363,375,0,368,"(2, 12)"
361,349,346,369,0,349,"(2, 13)"
631,622,607,599,0,596,"(2, 18)"
484,455,484,498,0,514,"(2, 19)"
636,349,357,410,0,355,"(2, 20)"
806,630,10000,10000,0,556,"(4, 4)"
402,421,409,442,0,379,"(4, 5)"
419,330,331,357,0,324,"(4, 7)"
380,339,338,338,0,332,"(4, 9)"
501,323,839,10000,0,355,"(4, 10)"
10000,10000,10000,757,0,571,"(4, 11)"
10000,10000,10000,10000,0,644,"(4, 12)"
10000,355,386,379,0,367,"(4, 13)"
771,10000,649,433,0,625,"(4, 14)"
475,562,526,544,0,535,"(4, 15)"
470,453,511,454,0,388,"(4, 16)"
360,371,368,347,0,331,"(4, 19)"
375,334,350,408,0,334,"(5, 5)"
332,311,324,346,0,313,"(5, 6)"
320,311,319,346,0,313,"(5, 7)"
345,325,335,365,0,330,"(5, 8)"
370,360,345,375,0,343,"(5, 9)"
368,322,326,405,0,323,"(5, 10)"
315,312,316,358,0,315,"(5, 11)"
324,299,303,335,0,301,"(5, 13)"
322,293,311,329,0,295,"(5, 14)"
356,313,322,360,0,317,"(5, 15)"
357,324,323,323,0,305,"(5, 16)"
338,315,319,337,0,307,"(5, 17)"
300,296,303,323,0,297,"(5, 18)"
372,343,346,372,0,344,"(5, 19)"
350,297,323,306,0,333,"(5, 20)"
376,359,372,379,0,366,"(6, 10)"
340,333,341,333,0,341,"(6, 12)"
408,397,428,421,0,430,"(6, 13)"
429,422,436,422,0,430,"(6, 14)"
437,385,451,437,0,447,"(6, 15)"
444,433,451,452,0,447,"(6, 16)"
408,393,408,423,0,385,"(6, 17)"
431,440,437,424,0,419,"(6, 18)"
407,356,365,386,0,374,"(6, 19)"
415,375,412,398,0,394,"(6, 20)"
591,555,540,550,0,516,"(7, 4)"
639,655,707,634,0,721,"(7, 5)"
524,534,503,528,0,507,"(7, 6)"
651,621,605,621,0,567,"(7, 7)"
636,573,589,614,0,614,"(7, 9)"
618,565,520,614,0,489,"(7, 10)"
10000,10000,10000,10000,0,10000,"(7, 11)"
638,638,589,608,0,524,"(7, 12)"
10000,589,528,583,0,497,"(7, 13)"
10000,10000,10000,10000,0,10000,"(7, 14)"
604,652,540,604,0,560,"(7, 15)"
