,L-f,L-m,L-h,R-f,R-m,R-h,Index
0,10000,279,10000,10000,10000,0,"(1, 4)"
1,10000,10000,359,10000,428,0,"(1, 6)"
2,10000,10000,323,10000,383,0,"(1, 9)"
3,10000,10000,303,10000,370,0,"(1, 10)"
4,10000,10000,322,10000,10000,0,"(1, 11)"
5,10000,10000,308,10000,377,0,"(1, 12)"
6,10000,10000,309,10000,10000,0,"(1, 13)"
7,10000,10000,329,10000,386,0,"(1, 14)"
8,10000,10000,316,10000,364,0,"(1, 15)"
9,10000,10000,289,10000,10000,0,"(1, 17)"
10,10000,10000,377,10000,10000,0,"(1, 19)"
11,10000,10000,288,10000,339,0,"(1, 20)"
12,10000,10000,315,10000,346,0,"(3, 4)"
13,10000,10000,295,10000,10000,0,"(3, 5)"
14,10000,10000,286,10000,10000,0,"(3, 6)"
15,10000,10000,289,10000,10000,0,"(3, 7)"
16,10000,10000,317,10000,10000,0,"(3, 8)"
17,10000,10000,339,10000,10000,0,"(3, 10)"
18,10000,10000,394,10000,461,0,"(3, 12)"
19,10000,10000,337,10000,10000,0,"(3, 13)"
20,10000,10000,358,10000,402,0,"(3, 15)"
21,10000,10000,336,10000,369,0,"(3, 16)"
22,10000,10000,337,10000,10000,0,"(3, 17)"
23,10000,10000,336,10000,335,0,"(3, 19)"
24,10000,10000,332,10000,10000,0,"(3, 20)"
25,10000,10000,323,10000,10000,0,"(5, 4)"
26,10000,10000,315,10000,10000,0,"(5, 5)"
27,10000,10000,313,10000,10000,0,"(5, 6)"
28,10000,10000,328,10000,10000,0,"(5, 7)"
29,10000,10000,10000,10000,10000,0,"(5, 8)"
30,10000,10000,353,10000,10000,0,"(5, 10)"
31,10000,10000,10000,10000,386,0,"(5, 11)"
32,10000,10000,360,10000,366,0,"(5, 12)"
33,10000,10000,373,10000,10000,0,"(5, 13)"
34,10000,10000,360,10000,433,0,"(5, 14)"
35,10000,10000,10000,10000,10000,0,"(5, 15)"
36,10000,10000,352,10000,10000,0,"(6, 4)"
37,10000,10000,319,10000,10000,0,"(6, 5)"
38,10000,10000,353,10000,10000,0,"(6, 6)"
39,10000,10000,320,10000,10000,0,"(6, 7)"
40,10000,10000,335,10000,10000,0,"(6, 8)"
41,10000,10000,290,10000,10000,0,"(6, 9)"
42,10000,10000,360,10000,10000,0,"(6, 10)"
43,10000,10000,326,10000,10000,0,"(6, 11)"
44,10000,10000,320,10000,10000,0,"(6, 12)"
45,10000,10000,286,10000,10000,0,"(6, 13)"
46,10000,10000,338,10000,10000,0,"(6, 15)"
47,10000,10000,311,10000,10000,0,"(6, 17)"
48,10000,10000,290,10000,10000,0,"(6, 18)"
49,10000,10000,339,10000,10000,0,"(6, 19)"
50,10000,10000,301,10000,10000,0,"(6, 20)"
51,10000,10000,405,10000,10000,0,"(7, 5)"
52,10000,10000,439,10000,10000,0,"(7, 7)"
53,10000,10000,483,10000,10000,0,"(7, 9)"
54,10000,10000,382,10000,10000,0,"(7, 11)"
55,10000,10000,483,10000,10000,0,"(7, 12)"
56,10000,10000,457,10000,10000,0,"(7, 14)"
57,10000,10000,649,10000,10000,0,"(7, 16)"
58,10000,10000,10000,10000,10000,0,"(7, 18)"
59,10000,10000,10000,10000,10000,0,"(9, 4)"
60,10000,10000,10000,10000,10000,0,"(9, 5)"
61,10000,10000,345,10000,10000,0,"(9, 6)"
62,10000,10000,10000,10000,10000,0,"(9, 7)"
63,10000,10000,10000,10000,10000,0,"(9, 8)"
64,10000,10000,380,10000,10000,0,"(9, 9)"
65,10000,10000,10000,10000,10000,0,"(9, 10)"
66,10000,10000,339,10000,10000,0,"(9, 11)"
67,10000,10000,498,10000,10000,0,"(9, 12)"
68,10000,10000,387,10000,10000,0,"(9, 13)"
69,10000,10000,10000,10000,10000,0,"(9, 14)"
70,10000,10000,336,10000,10000,0,"(9, 15)"
71,10000,10000,458,10000,10000,0,"(9, 16)"
72,10000,10000,424,10000,10000,0,"(9, 17)"
73,10000,10000,350,10000,10000,0,"(9, 18)"
74,10000,10000,396,10000,10000,0,"(9, 20)"
75,10000,10000,430,10000,10000,0,"(10, 4)"
76,10000,10000,366,10000,438,0,"(10, 5)"
77,10000,10000,422,10000,493,0,"(10, 6)"
78,10000,10000,367,10000,438,0,"(10, 7)"
79,10000,10000,527,10000,10000,0,"(10, 8)"
80,10000,10000,425,10000,580,0,"(10, 9)"
81,10000,10000,598,10000,686,0,"(10, 11)"
82,10000,10000,480,10000,677,0,"(10, 12)"
83,10000,10000,491,10000,604,0,"(10, 13)"
84,10000,10000,413,10000,618,0,"(10, 14)"
85,10000,10000,446,10000,545,0,"(10, 15)"
86,10000,10000,445,10000,554,0,"(10, 16)"
87,10000,10000,432,10000,513,0,"(10, 17)"
88,10000,10000,681,10000,755,0,"(10, 18)"
89,10000,10000,433,10000,583,0,"(10, 19)"
90,10000,10000,410,10000,462,0,"(10, 20)"
91,10000,10000,378,10000,417,0,"(11, 4)"
92,10000,10000,315,10000,321,0,"(11, 5)"
93,10000,10000,377,10000,381,0,"(11, 7)"
94,10000,10000,401,10000,431,0,"(11, 9)"
95,10000,10000,394,10000,411,0,"(11, 10)"
96,10000,10000,480,10000,478,0,"(11, 11)"
97,10000,10000,10000,10000,10000,0,"(11, 12)"
98,10000,10000,10000,10000,10000,0,"(11, 13)"
99,10000,10000,385,10000,10000,0,"(11, 14)"
100,10000,10000,340,10000,359,0,"(11, 15)"
101,10000,10000,372,10000,10000,0,"(11, 16)"
102,10000,10000,330,10000,421,0,"(11, 17)"
103,10000,10000,401,10000,10000,0,"(11, 19)"
104,10000,10000,435,10000,454,0,"(11, 20)"
105,10000,10000,411,10000,418,0,"(12, 4)"
106,10000,10000,385,10000,382,0,"(12, 5)"
107,10000,10000,421,10000,10000,0,"(12, 6)"
108,10000,10000,356,10000,359,0,"(12, 7)"
109,10000,10000,376,10000,381,0,"(12, 8)"
110,10000,10000,335,10000,333,0,"(12, 9)"
111,10000,10000,347,10000,359,0,"(12, 10)"
112,10000,10000,10000,10000,371,0,"(12, 11)"
113,10000,10000,405,10000,409,0,"(12, 12)"
114,10000,10000,420,10000,416,0,"(12, 13)"
115,10000,10000,429,10000,432,0,"(12, 14)"
116,10000,10000,421,10000,421,0,"(12, 15)"
117,10000,10000,514,10000,10000,0,"(12, 16)"
118,10000,10000,379,10000,398,0,"(12, 17)"
119,10000,10000,434,10000,10000,0,"(12, 18)"
120,10000,10000,394,10000,403,0,"(12, 19)"
121,10000,10000,370,10000,378,0,"(12, 20)"
122,10000,10000,10000,10000,10000,0,"(13, 5)"
123,10000,10000,506,10000,521,0,"(13, 6)"
124,10000,10000,362,10000,10000,0,"(13, 7)"
125,10000,10000,336,10000,343,0,"(13, 8)"
126,10000,10000,433,10000,10000,0,"(13, 9)"
127,10000,10000,430,10000,428,0,"(13, 10)"
128,10000,10000,10000,10000,574,0,"(13, 11)"
129,10000,10000,481,10000,496,0,"(13, 12)"
130,10000,10000,485,10000,502,0,"(13, 13)"
131,10000,10000,425,10000,444,0,"(13, 14)"
132,10000,10000,505,10000,507,0,"(13, 15)"
133,10000,10000,10000,10000,618,0,"(13, 16)"
134,10000,10000,694,10000,709,0,"(13, 17)"
135,10000,10000,505,10000,563,0,"(13, 18)"
136,10000,10000,556,10000,586,0,"(13, 19)"
137,10000,10000,10000,10000,10000,0,"(13, 20)"
138,10000,10000,378,10000,390,0,"(15, 4)"
139,10000,10000,461,10000,480,0,"(15, 5)"
140,10000,10000,415,10000,415,0,"(15, 6)"
141,10000,10000,371,10000,377,0,"(15, 7)"
142,10000,10000,411,10000,430,0,"(15, 8)"
143,10000,10000,10000,10000,362,0,"(15, 9)"
144,10000,10000,432,10000,431,0,"(15, 10)"
145,10000,10000,372,10000,385,0,"(15, 11)"
146,10000,10000,417,10000,423,0,"(15, 12)"
147,10000,10000,442,10000,438,0,"(15, 16)"
148,10000,10000,459,10000,436,0,"(15, 18)"
149,10000,10000,10000,10000,594,0,"(15, 19)"
150,10000,10000,417,10000,10000,0,"(16, 4)"
151,10000,10000,411,10000,429,0,"(16, 5)"
152,10000,10000,435,10000,10000,0,"(16, 6)"
153,10000,10000,422,10000,10000,0,"(16, 7)"
154,10000,10000,420,10000,10000,0,"(16, 8)"
155,10000,10000,403,10000,10000,0,"(16, 9)"
156,10000,10000,413,10000,10000,0,"(16, 10)"
157,10000,10000,450,10000,546,0,"(16, 12)"
158,10000,10000,446,10000,467,0,"(16, 13)"
159,10000,10000,425,10000,450,0,"(16, 14)"
160,10000,10000,481,10000,10000,0,"(16, 15)"
161,10000,10000,474,10000,504,0,"(16, 16)"
162,10000,10000,448,10000,10000,0,"(16, 17)"
163,10000,10000,483,10000,10000,0,"(16, 19)"
164,10000,10000,455,10000,10000,0,"(16, 20)"
165,10000,10000,10000,10000,10000,0,"(17, 5)"
166,10000,10000,10000,10000,10000,0,"(17, 8)"
167,10000,10000,10000,10000,10000,0,"(17, 10)"
168,10000,10000,10000,10000,10000,0,"(17, 11)"
169,10000,10000,428,10000,10000,0,"(17, 12)"
170,10000,10000,430,10000,450,0,"(17, 13)"
171,10000,10000,10000,10000,10000,0,"(17, 14)"
172,10000,10000,10000,10000,10000,0,"(17, 16)"
173,10000,10000,10000,10000,10000,0,"(17, 18)"
174,10000,10000,10000,10000,10000,0,"(17, 19)"
175,10000,10000,10000,10000,10000,0,"(17, 20)"
176,10000,10000,371,10000,397,0,"(18, 4)"
177,10000,10000,10000,10000,10000,0,"(18, 5)"
178,10000,10000,10000,10000,427,0,"(18, 7)"
179,10000,10000,10000,10000,10000,0,"(18, 8)"
180,10000,10000,10000,10000,10000,0,"(18, 9)"
181,10000,10000,10000,10000,10000,0,"(18, 10)"
182,10000,10000,398,10000,10000,0,"(18, 11)"
183,10000,10000,10000,10000,392,0,"(18, 12)"
184,10000,10000,447,10000,10000,0,"(18, 13)"
185,10000,10000,417,10000,10000,0,"(18, 14)"
186,10000,10000,421,10000,10000,0,"(18, 16)"
187,10000,10000,438,10000,10000,0,"(18, 18)"
188,10000,10000,10000,10000,10000,0,"(18, 19)"
189,10000,10000,10000,10000,10000,0,"(18, 20)"
